,page,country,rev_id,prediction,Geography,Population mid-2018 (millions)
2550,José Félix Quirós,Salvadoran,714256648,Stub,,
2644,Hanna Nasser,Palestinian Territory,714586856,Stub,,
2705,Jean-Baptiste Mockey,Ivorian,714822110,Stub,,
2821,Joseph Orpen,Cape Colony,715016315,C,,
2846,Ghazi Hanania,Palestinian Territory,715125381,Stub,,
2884,Hákun Djurhuus,Faroese,715330944,Stub,,
2892,Oscar Kilgore,Hondura,715365023,Stub,,
2936,Ivan Dejmal,Czech Republic,715467197,Start,,
2943,Serge Larcher,Martinique,715489433,Stub,,
2944,Jógvan Justinusson,Faroese,715490721,Stub,,
3007,Franz Macoun,Czech Republic,715640391,Stub,,
3069,Edgar Allen Christian,Pitcairn Islands,715823848,Stub,,
3070,Frederick Martin Christian,Pitcairn Islands,715823876,Stub,,
3071,John Lorenzo Christian,Pitcairn Islands,715823908,Stub,,
3146,Andrass Samuelsen,Faroese,716137698,Stub,,
3165,Kim Seung-kew,South Korean,716323288,Stub,,
3168,Joseph Lambert Eustace,Saint Vincent and the Grenadines,716335437,Start,,
3173,Len Ishmael,Saint Lucian,716376965,Stub,,
3182,Amin Abd al-Hadi,Palestinian Territory,716425885,Stub,,
3192,Gregor Žerjav,Carniolan,716507073,Start,,
3209,Karel Dežman,Carniolan,716574519,C,,
3250,Willem Cornelis Janse van Rensburg,South African Republic,716703178,Start,,
3254,Karel Urbánek,Czech Republic,716711851,Stub,,
3310,Roberto Flores Bermúdez,Hondura,716882219,Stub,,
3352,Samir Hulileh,Palestinian Territory,717174805,Start,,
3359,Stanislav Kochiev,South Ossetian,717215546,Start,,
3363,Valeriy Hubulov,South Ossetian,717241760,Start,,
3371,Benjamin Stanley Young,Pitcairn Islands,717259837,Stub,,
3378,Edward Quintal,Pitcairn Islands,717338734,Stub,,
3379,Arthur Quintal I,Pitcairn Islands,717340951,Stub,,
3380,Fletcher Christian II,Pitcairn Islands,717340996,Stub,,
3381,Moses Young,Pitcairn Islands,717341064,Stub,,
3392,Matthew McCoy (Magistrate),Pitcairn Islands,717345596,Stub,,
3393,Arthur Quintal II,Pitcairn Islands,717346443,Stub,,
3396,Leona Gabriel,Martinique,717349591,Stub,,
3410,Hatem Qafisha,Palestinian Territory,717350346,Stub,,
3411,Josip Vilfan,Carniolan,717350390,B,,
3412,Charles Christian II,Pitcairn Islands,717350782,Stub,,
3457,Seo Young-kyo,South Korean,717405394,Start,,
3462,Vladimír Klokočka,Czech Republic,717429365,Start,,
3464,To’alepaiali’i Toeolesulusulu Salesa III,Samoan,717442173,Stub,,
3502,Tou Travel Ariki,Cook Island,717545630,Stub,,
3524,Piho Rua,Cook Island,717593716,Start,,
3553,Luka Svetec,Carniolan,717669055,Start,,
3607,María Josefa Lastiri,Hondura,717808509,Start,,
3626,Norris Henry Young,Pitcairn Islands,717867039,Stub,,
3636,Robert Woonton,Cook Island,717897925,Start,,
3638,Edgardo Carlos Suárez Mallagray,Salvadoran,717903674,Stub,,
3644,Nayef Rajoub,Palestinian Territory,717907429,Stub,,
3647,Ben Shenton,Jersey,717911161,Start,,
3652,Hilal Al Sarmi,Omani,717915660,Stub,,
3693,Jean Julien Angot des Rotours,Guadeloupe,718041739,Start,,
3708,Eduardo Bueso,Hondura,718132526,Stub,,
3771,Klaas Afrikaner,Cape Colony,718462130,Stub,,
3894,Delphin Kyubwa,"Congo, Dem. Rep. of",718961623,Stub,,
3905,Namulau’ulu Vavae Tuilagi,Samoan,718995854,Stub,,
3966,Laurie Morgan,Guernsey,719122168,Stub,,
3979,Ngereteina Puna,Cook Island,719186872,Stub,,
4000,Christopher J. Turner,Montserratian,719256142,Start,,
4073,Elvin Santos,Hondura,719637124,Start,,
4089,Lefau Harry Schuster,Samoan,719691980,Stub,,
4095,Arthur Galsworthy,Pitcairn Islands,719706841,Stub,,
4159,Manuel Magalhaes de Oliveira,East Timorese,720011934,Stub,,
4161,Jaromír Jermář,Czech Republic,720027362,Stub,,
4165,Jules Ninine,Guadeloupe,720032116,Stub,,
4167,Furcie Tirolien,Guadeloupe,720040455,Stub,,
4168,Henri Bangou,Guadeloupe,720040633,Stub,,
4169,Dominique Larifla,Guadeloupe,720040679,Stub,,
4170,Georges Dagonia,Guadeloupe,720040713,Stub,,
4171,François Louisy,Guadeloupe,720040739,Stub,,
4172,Henri Agarande,Martinique,720040766,Stub,,
4173,Georges Guéril,French Guiana,720040781,Stub,,
4174,Édouard Gaumont,French Guiana,720040911,Stub,,
4178,Édouard Chammougon,Guadeloupe,720047704,Stub,,
4179,Philippe Edmond-Mariette,Martinique,720051482,Stub,,
4180,Guy Lordinot,Martinique,720051522,Stub,,
4181,Anicet Turinay,Martinique,720051537,Stub,,
4183,Léopold Hélène,Guadeloupe,720055613,Stub,,
4184,Leo Andy,Guadeloupe,720055699,Stub,,
4185,José Moustache,Guadeloupe,720055763,Stub,,
4186,Frédéric Jalton,Guadeloupe,720055814,Stub,,
4187,Rosan Girard,Guadeloupe,720055877,Stub,,
4188,Armand Jean-François,Guadeloupe,720055937,Stub,,
4189,Michel Renard,Martinique,720059715,Stub,,
4191,Jean Silvandre,Martinique,720059792,Stub,,
4206,Marie-Joseph Pernock,Martinique,720116944,Stub,,
4207,Paul Valentino,Guadeloupe,720117073,Stub,,
4208,Marcel Esdras,Guadeloupe,720117155,Stub,,
4209,Mariani Maximin,Guadeloupe,720117294,Stub,,
4213,Camille Darsières,Martinique,720127025,Stub,,
4214,Homère Clément,Martinique,720127121,Stub,,
4246,Ghassan Shakaa,Palestinian Territory,720225559,Stub,,
4295,Sam Condor,Saint Kitts and Nevis,720360218,Stub,,
4307,Aníbal Portillo,Salvadoran,720419598,Stub,,
4309,Robert Le Masurier,Jersey,720430005,Stub,,
4310,John Allen (diplomat),Tokelauan,720435378,Stub,,
4315,Raymond Tarcy,French Guiana,720461524,Stub,,
4323,José Francisco Valiente,Salvadoran,720478176,Stub,,
4343,Salim Zanoun,Palestinian Territory,720541817,Stub,,
4347,Joseph Nathaniel France,Saint Kitts and Nevis,720572188,Stub,,
4361,Diego de Holguín,Salvadoran,720623176,Stub,,
4362,Sigfrido Reyes Morales,Salvadoran,720633452,Start,,
4467,Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135,Start,,
4569,Zurab Achba,Abkhazia,721094337,Stub,,
4595,José Endundo Bononge,"Congo, Dem. Rep. of",721206007,Stub,,
4685,Amédée Fengarol,Guadeloupe,721660701,Stub,,
4689,Rostislav Khugayev,South Ossetian,721687759,Stub,,
4702,Artur London,Czech Republic,721736524,Start,,
4724,Alain Tien-Liong,French Guiana,721865198,Stub,,
4751,Álvur Kirke,Faroese,721938213,Stub,,
4774,Marlon Pascua,Hondura,722006681,Stub,,
4812,Domingo Vásquez,Hondura,722195895,Stub,,
4833,Mohammed Al Rumhi,Omani,722258362,Stub,,
4838,Peter Harwood,Guernsey,722295712,Stub,,
4847,Rikard Long,Faroese,722336332,Start,,
4848,Sigurð Joensen,Faroese,722336979,Start,,
4889,Enrique Flores Lanza,Hondura,722442093,Stub,,
4919,Jógvan Poulsen (1854–1941),Faroese,722590461,Start,,
4960,Martin Storey (politician),Guernsey,722806951,Stub,,
4986,František Sláma (politician),Czech Republic,722937211,Stub,,
5002,Kevin C. Lewis,Jersey,722988899,Stub,,
5019,Lee Wu-jong,South Korean,723064614,Stub,,
5046,Themba N. Masuku,Swaziland,723121670,Stub,,
5057,Jan Kubice,Czech Republic,723151837,Stub,,
5059,Tuitama Talalelei Tuitama,Samoan,723152770,Stub,,
5060,Renan Inestroza,Hondura,723153856,Stub,,
5074,Kamil Jankovský,Czech Republic,723207013,Stub,,
5092,Manuel Enrique Araujo,Salvadoran,723277343,Start,,
5100,Mauricio Oliva,Hondura,723304712,Stub,,
5162,Christian Groepe,Cape Colony,723563811,B,,
5163,Karim Mammadbeyov,Dagestani,723563977,Start,,
5228,Shota Shamatava,Abkhazia,723736482,Stub,,
5274,Shawn Richards,Saint Kitts and Nevis,723892438,Start,,
5277,Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158,Stub,,
5492,Jacob Vestergaard,Faroese,724674137,Start,,
5496,Václav Vacek,Czech Republic,724691268,Stub,,
5552,Rob Duhamel,Jersey,724891592,Stub,,
5573,William Hume (Cape politician),Cape Colony,724976433,Start,,
5588,Johan Simonsen,Faroese,725030656,Stub,,
5613,Armando Calidonio,Hondura,725105423,Stub,,
5627,Sébastien Impeto Pengo,"Congo, Dem. Rep. of",725141090,Stub,,
5743,Kári P. Højgaard,Faroese,725288194,Start,,
5754,Carlos Urbizo,Hondura,725343188,Stub,,
5760,Čestmír Císař,Czech Republic,725362978,C,,
5784,Mauricio Villeda,Hondura,725459626,Stub,,
5788,Duvalle,Saint Vincent and the Grenadines,725462724,Start,,
5802,Séry Bailly,Ivorian,725560428,Start,,
5809,Miguel Andonie Fernández,Hondura,725591760,Stub,,
5810,Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476,Stub,,
5838,Patrick J. D. Ryan,Jersey,725737326,Stub,,
5851,René Toribio,Guadeloupe,725882471,Start,,
5855,Dominic Fedee,Saint Lucian,725910626,Stub,,
5856,William Carey (Bailiff of Guernsey),Guernsey,725970969,Stub,,
5858,Howard Fergus,Montserratian,725980651,Start,,
5889,Yolani Batres,Hondura,726246603,Stub,,
5902,Philip Pierre,Saint Lucian,726374537,Stub,,
5903,Janez Evangelist Krek,Carniolan,726434981,Start,,
6044,Luca Rovinalti,Czech Republic,726666131,Stub,,
6066,Le Mamea Matatumua Ata,Samoan,726724077,Stub,,
6067,Tole’afoa Solomona To’ailoa,Samoan,726724455,Stub,,
6083,Kamil Krofta,Czech Republic,726762194,Start,,
6091,Manuel Antonio Alberto Zelaya,Hondura,726766670,Stub,,
6119,Yahya Al Khusaibi,Omani,726862168,Stub,,
6213,List of Danish High Commissioners in Greenland,Greenlandic,728026000,Stub,,
6238,Emmanuel Véry-Hermence,Martinique,728154475,Stub,,
6249,List of Presidents of the House of Ariki,Cook Island,728378933,Stub,,
6260,Milan Štěch,Czech Republic,728506208,Stub,,
6362,Laurent Akoun,Ivorian,729142061,Stub,,
6379,Kristin Michelsen,Faroese,729422866,Start,,
6380,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Omani,729426899,Start,,
6381,David Jones (Guernsey politician),Guernsey,729428763,Stub,,
6382,Etbin Henrik Costa,Carniolan,729435354,Start,,
6404,Umm Nidal,Palestinian Territory,729635985,C,,
6425,Patrice Tirolien,Guadeloupe,729810276,Stub,,
6438,Antonín Janoušek,Czech Republic,729912438,Stub,,
6476,Bedřich Geminder,Czech Republic,730146355,Stub,,
6522,Aref al-Dajani,Palestinian Territory,730565205,Start,,
6527,Faed Mustafa,Palestinian Territory,730612889,Stub,,
6555,Hunter J. Francois,Saint Lucian,730756593,Stub,,
6569,Joaquín Eufrasio Guzmán,Salvadoran,730854147,Stub,,
6571,Francisco Malespín,Salvadoran,730864227,Stub,,
6633,Jonathan Sinclair,Pitcairn Islands,731458576,Stub,,
6680,James Sivewright,Cape Colony,731817397,C,,
6687,William Downes Griffith,Cape Colony,731908828,Start,,
6699,List of Presidents of the Regional Council of Martinique,Martinique,732059763,Stub,,
6706,Neil Walter,Tokelauan,732100626,Start,,
6725,Presidents of the Regional Council of French Guiana,French Guiana,732283076,Stub,,
6868,André Lesueur,Martinique,732488768,Stub,,
6909,Clovis Kabongo Malemba,"Congo, Dem. Rep. of",733051797,Stub,,
6953,Daniel Aka Ahizi,Ivorian,733596387,Stub,,
6965,Rodrigo Ávila,Salvadoran,733791467,Start,,
7072,Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909,C,,
7102,Lisbeth L. Petersen,Faroese,734668075,C,,
7146,Karel Domin,Czech Republic,735174171,Start,,
7165,Bamba Mamadou,Ivorian,735408389,Stub,,
7185,Símun av Skarði,Faroese,735578210,Stub,,
7264,Mario Aguiñada Carranza,Salvadoran,736491718,Start,,
7357,Harry Struben,South African Republic,736854878,Start,,
7371,Vincent Floissac,Saint Lucian,736890123,Start,,
7372,George Odlum,Saint Lucian,736890129,GA,,
7388,Philippe de Carteret II,Jersey,737014330,Start,,
7406,Patrice Nisbett,Saint Kitts and Nevis,737165159,Stub,,
7408,Ashley Greenwood,Montserratian,737169369,Start,,
7420,Samiha Khalil,Palestinian Territory,737316891,Start,,
7422,John Sweet Distin,Cape Colony,737348283,Start,,
7446,François Nicéphore Kakese,"Congo, Dem. Rep. of",737533634,Stub,,
7447,Jean-Étienne Antoinette,French Guiana,737536891,Stub,,
7455,Hubert Ripka,Czech Republic,737562321,Stub,,
7483,João Viegas Carrascalão,East Timorese,737687072,Start,,
7697,Tangaroa Tangaroa,Cook Island,737975585,Start,,
7761,David Rodríguez Rivera,Salvadoran,738362225,Start,,
7787,Imil Jarjoui,Palestinian Territory,738485209,Stub,,
7868,Mihael Preiss,Carniolan,738955897,Stub,,
7894,Lealailepule Rimoni Aiafi,Samoan,738999542,Start,,
7926,Va'ai Papu Vailupe,Samoan,739170575,Start,,
7927,Palusalue Fa’apo II,Samoan,739170586,Start,,
7928,Tolofuaivalelei Falemoe Lei’ataua,Samoan,739170620,Start,,
7929,A'eau Peniamina,Samoan,739170646,Start,,
7930,Patu Ativalu,Samoan,739170663,Stub,,
7948,Charles Antrobus,Saint Vincent and the Grenadines,739296460,Stub,,
8051,Abu Zakaria al-Jamal,Palestinian Territory,740251014,Stub,,
8092,Mustafa al-Khalidi,Palestinian Territory,740562507,Stub,,
8119,Sua Sulu'ape Paulo II,Samoan,740773350,C,,
8151,Connétable (Jersey and Guernsey),Jersey,740998059,Start,,
8187,Carlos Ezeta,Salvadoran,741190933,Start,,
8193,Samir Ghawshah,Palestinian Territory,741240899,Start,,
8237,Tomáš Eduard Šilinger,Czech Republic,741588720,Stub,,
8241,Louis Henri de Gueydon,Martinique,741659376,Start,,
8256,Karel Lavrič,Carniolan,741794691,C,,
8257,Petr Janyška,Czech Republic,741798984,Stub,,
8327,Gunnar Martens,Greenlandic,742150479,Stub,,
8353,Andrés Ignacio Menéndez,Salvadoran,742279612,Stub,,
8356,Abraham Alvarenga Urbina,Hondura,742298045,Stub,,
8367,Alan J. H. Maclean,Jersey,742413962,Stub,,
8407,Raymond Ramazani Baya,"Congo, Dem. Rep. of",742707920,Stub,,
8416,Lyndon Trott,Guernsey,742737553,Stub,,
8427,Fuad Kokaly,Palestinian Territory,742810698,Stub,,
8435,Jonathan Le Tocq,Guernsey,742872067,Start,,
8436,Graham Dorey,Guernsey,742872751,Stub,,
8440,Janet Mikhail,Palestinian Territory,742930612,Stub,,
8450,Alan Parastaev,Ossetian,743018109,Start,,
8457,Mulumba Lukoji,"Congo, Dem. Rep. of",743061455,Stub,,
8478,Gerardo Barrios,Salvadoran,743252984,Start,,
8495,Jana Juřenčáková,Czech Republic,743423675,Stub,,
8496,Simeon Aké,Ivorian,743428650,Stub,,
8622,Hind Khoury,Palestinian Territory,744229617,Stub,,
8657,Tim Francis,Tokelauan,744394596,Stub,,
8684,Jaromír Nečas,Czech Republic,744448745,Stub,,
8712,Martial Joseph Ahipeaud,Ivorian,744522699,Stub,,
8754,Siegfried Taub,Czech Republic,744612257,Start,,
8757,Lovro Toman,Carniolan,744636212,Start,,
8763,Saloum Cohen,Palestinian Territory,744680083,Stub,,
8800,Innocent Anaky,Ivorian,744920472,C,,
8838,Cyrille Bissette,Martinique,745174732,B,,
8840,Asiata Sale'imoa Va'ai,Samoan,745204530,Stub,,
8868,Michel Couriard,Jersey,745348113,Start,,
8873,Ahmed Majdalani,Palestinian Territory,745445418,Start,,
8965,Agapito Robleda Castro,Hondura,745838578,Start,,
8974,David Emmanuel Jack,Saint Vincent and the Grenadines,745928420,Stub,,
9003,César Castellanos (politician),Hondura,746117875,Stub,,
9071,Faidi al-Alami,Palestinian Territory,746561126,Stub,,
9097,Georges Marie Anne,Martinique,746619744,Stub,,
9118,Záviš Kalandra,Czech Republic,746707985,Stub,,
9162,John Thomas Eustace,Cape Colony,746923352,C,,
9259,Gerald B. Clarke,Rhodesian,747497059,Stub,,
9277,Moses Mathendele Dlamini,Swaziland,747579157,Start,,
9338,Bogumil Vošnjak,Carniolan,747945423,Start,,
9367,Boris Chochiev,South Ossetian,748071193,Stub,,
9404,Simon Young (magistrate),Pitcairn Islands,748179514,Stub,,
9435,Victor Mazuline,Martinique,748274199,Stub,,
9436,Hégésippe Légitimus,Guadeloupe,748274502,C,,
9437,Louisy Mathieu,Guadeloupe,748274939,Stub,,
9442,Aiono Nonumalo Sofara,Samoan,748298776,Stub,,
9448,Mata'afa Faumuina Fiame Mulinu'u I,Samoan,748384437,Start,,
9464,Rubén Zamora,Salvadoran,748418081,Start,,
9472,De Vic Carey,Guernsey,748457839,Start,,
9476,Fiame Mata'afa Faumuina Mulinu'u II,Samoan,748477510,C,,
9477,Finnbogi Ísakson,Faroese,748477895,Start,,
9519,Adolfo Lionel Sevilla,Hondura,748832681,Stub,,
9586,Brian Young (magistrate),Pitcairn Islands,749046736,Stub,,
9616,Vicente Tosta,Hondura,749185736,Start,,
9714,Alexandre Luba Ntambo,"Congo, Dem. Rep. of",749397818,Stub,,
9730,Oscar Kashala,"Congo, Dem. Rep. of",749419078,Start,,
9806,Alois Rašín,Czech Republic,749575931,Start,,
9843,Aníbal Delgado Fiallos,Hondura,749663646,Start,,
9857,Toribio Aguilera,Hondura,749695259,Stub,,
9877,René Jadfard,French Guiana,749748234,Start,,
9879,First Lady of Ivory Coast,Ivorian,749766207,Stub,,
9917,Bedřich Reicin,Czech Republic,749945936,Start,,
9933,Yury Morozov,South Ossetian,749962491,Start,,
